SV_TAXONOMY,TAXONOMY_NAME,RG_REFERENCE,RG_NAME,SV_REFERENCE,SV_NAME,SV_DESCRIPTION,SL_REFERENCE,LC_REFERENCE,WEBSITE,WHEELCHAIR_ACCESSIBLE,LANGUAGE,HOURS,STREET_NUMBER,CITY,POSTAL_CODE,LATITUDE,LONGITUDE,Facility,Hosp,811_LINK
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653149,17652292,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",3950 8th Avenue,Smithers,V0J 2N0,54.784976,-127.163822,Bulkley Valley District Hospital,903,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652292
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645054,17644353,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",3935 Kincaid Street,Burnaby,V5G 2X6,49.248776,-123.016837,Burnaby Hospital,130,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644353
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647110,17646585,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",517 6th Avenue N,Williams Lake,V2G 2G8,52.137421,-122.143656,Cariboo Memorial Hospital and Health Centre,406,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646585
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647122,17646810,https://www.interiorhealth.ca/services/emergency-health-services,Y,,Mon 08:00 - 20:00; Tue 08:00 - 20:00; Wed 08:00 - 20:00; Thu 08:00 - 20:00; Fri 08:00 - 20:00; Sat 08:00 - 20:00; Sun 08:00 - 20:00;,709 10th Street,Castlegar,V1N 2H7,49.314395,-117.659998,Castlegar and District Community Health Centre,804,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646810
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647133,17646759,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"Hours vary, please call for hours of operation.",825 Thompson Avenue,Chase,V0E 1M0,50.818238,-119.68568,Chase Health Centre,426,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646759
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653159,17652362,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",5500 Hospital Road,Chetwynd,V0C 1J0,55.695973,-121.64632,Chetwynd Hospital and Health Centre,716,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652362
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645048,17644355,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",45600 Menholm Road,Chilliwack,V2P 1P7,49.165763,-121.962422,Chilliwack General Hospital,601,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644355
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651543,17650887,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week",49 School Road,Alert Bay,V0N 1A0,50.583656,-126.926661,Cormorant Island Community Health Centre,507,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17650887
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651537,17650858,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week",3045 Gibbins Road,Duncan,V9L 1E5,48.785009,-123.723323,Cowichan District Hospital,203,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17650858
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647099,17647098,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",312 15th Avenue N,Creston,V0B 1G0,49.098702,-116.508309,Creston Valley Hospital and Health Centre,654,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647098
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653153,17652143,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",11100 13th Street,Dawson Creek,V1G 3W8,55.749057,-120.237333,Dawson Creek and District Hospital,704,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652143
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645057,17644361,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",5800 Mountain View Boulevard,Delta,V4K 3V6,49.08461,-123.059929,Delta Hospital,134,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644361
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647111,17646548,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"Open 24 hours a day, 7 days a week based on availability. Hours subject to change; call ahead before going to the hospital.",640 Park Drive,Clearwater,V0E 1N0,51.646945,-120.018229,Dr. Helmcken Memorial Hospital,419,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646548
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645053,17644357,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",475 Guildford Way,Port Moody,V3H 3W9,49.283374,-122.823597,Eagle Ridge Hospital,136,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644357
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647108,17646893,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",13 24th Avenue N,Cranbrook,V1C 3H9,49.512483,-115.748688,East Kootenay Regional Hospital,756,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646893
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",21397690,17647530,https://www.interiorhealth.ca/services/emergency-health-services,Y,,Mon 16:00 - 08:00; Tue 16:00 - 08:00; Wed 16:00 - 08:00; Thu 16:00 - 08:00;,322 Monashee Avenue,Edgewood,V0G 1J0,49.77841,-118.146151,Edgewood Health Centre,656,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647530
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647109,17646590,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",1501 5th Avenue,Fernie,V0B 1M0,49.51284,-115.0566,Elk Valley Hospital,753,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646590
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647137,17646829,https://www.interiorhealth.ca/services/emergency-health-services,Y,,Mon 09:00 - 16:30; Tue 09:00 - 16:30; Wed 09:00 - 16:30; Thu 09:00 - 16:30; Fri 09:00 - 16:30; Closed statutory holidays. Hours subject to change; call ahead before going to the hospital. Elk Valley Hospital in Fernie is open 24-hours.,212 Alpine Way,Elkford,V0B 1H0,50.021306,-114.918185,Elkford Health Centre,757,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646829
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653136,17652353,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",5315 Liard Street,Fort Nelson,V0C 1R0,58.809101,-122.703101,Fort Nelson General Hospital,714,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652353
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653154,17652606,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",8407 112th Avenue,Fort St John,V1J 0J5,56.256892,-120.817122,Fort St. John Hospital,701,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652606
LD-1700,Emergency Room Care,17644351,Fraser Health Authority,17645045,Emergency Health Services,"Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Wait times can vary depending on time, location and level of need.",17645049,17644442,https://www.fraserhealth.ca/patients-and-visitors/when-to-use-the-emergency/,Y,,"24 hours a day, 7 days a week",1275 7th Avenue,Hope,V0X 1L4,49.376899,-121.424345,Fraser Canyon Hospital,606,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17645045&SiteResourceAgencyNum=17644442
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653141,17652193,https://www.northernhealth.ca/locations/hospitals,Y,,Mon 09:00 - 17:00; Tue 09:00 - 17:00; Wed 09:00 - 17:00; Thu 09:00 - 17:00; Fri 09:00 - 17:00;,130 Chowsunket Street,Fraser Lake,V0J 1S0,54.059109,-124.849774,Fraser Lake Community Health Centre,758,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652193
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653156,17652141,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",543 Front Street,Quesnel,V2J 2K7,52.981739,-122.498817,G.R. Baker Memorial Hospital,705,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652141
LD-1700,Emergency Room Care,17650682,Island Health,17651530,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17651544,17650759,https://www.islandhealth.ca/patients-visitors/visiting-emergency-department,Y,,"24 hours a day, 7 days a week; call ahead to confirm.",601 Trumpeter Drive,Gold River,V0P 1G0,49.78125,-126.048774,Gold River Health Centre,860,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17651530&SiteResourceAgencyNum=17650759
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647106,17647105,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",835 9th Avenue S,Golden,V0A 1H0,51.296527,-116.966604,Golden and District Hospital,409,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647105
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653148,17652557,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",3209 Oceanview Drive,Queen Charlotte,V0T 1S0,53.254868,-132.070526,Haida Gwaii Hospital and Health Centre,907,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652557
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653158,17652178,https://www.northernhealth.ca/locations/hospitals,Y,,Service only available when doctor is on-site; call ahead before going to the hospital.,10309 Kyllo Street,Hudson's Hope,V0C 1V0,56.026604,-121.914866,Hudson's Hope Health Centre,759,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652178
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647104,17647103,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",850 10th Avenue,Invermere,V0A 1K0,50.506441,-116.032224,Invermere and District Hospital  ,755,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17647103
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647125,17646738,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",2268 Pandosy Street,Kelowna,V1Y 1T2,49.873281,-119.491273,Kelowna General Hospital,302,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646738
LD-1700,Emergency Room Care,17652139,Northern Health,17653135,Emergency Health Services,Provides 24-hour emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Patients are seen by a doctor on a priority basis based on the severity of the patient's condition upon arrival. Operating hours may vary in rural communities that provide emergency care; individuals are encouraged to call ahead to confirm services will be available upon their arrival.,17653144,17652147,https://www.northernhealth.ca/locations/hospitals,Y,,"24 hours a day, 7 days a week",920 S Lahakas Blvd,Kitimat,V8C 2S3,54.050409,-128.647481,Kitimat General Hospital and Health Centre,917,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17653135&SiteResourceAgencyNum=17652147
LD-1700,Emergency Room Care,17646543,Interior Health Authority,17647094,Emergency Health Services,"Provides emergency services for patients arriving at the hospital in need of immediate care because of a health crisis or urgent medical condition. Most locations are open 24 hours a day, 7 days a week. Hours may vary, or be subject to change, in rural communities.   Individuals are encouraged to call ahead to confirm services will be available upon their arrival.",17647126,17646551,https://www.interiorhealth.ca/services/emergency-health-services,Y,,"24 hours a day, 7 days a week",1200 Hospital Bench,Trail,V1R 4M1,49.10318,-117.70147,Kootenay Boundary Regional Hospital,801,http://www.healthlinkbc.ca/find/resource.asp?First=1&org=53965&agencynum=17647094&SiteResourceAgencyNum=17646551
