ID,PO_BOX,ADDRESS_FULL,CITY,PROVINCE,POSTAL_CODE,COUNTRY,GEO_LATITUDE,GEO_LONGITUDE,HA_ID,HA_NAME,NUM_PHYSICIANS
FAM_0026,,"MAGETA MEDICAL CLINIC, 110, 20528 LOUGHEED HWY",MAPLE RIDGE,BC,V2X 2P8,CANADA,49.2181348,-122.652248,2 FHA,Fraser,8
FAM_0027,,"PORT AUGUSTA FAMILY MEDICINE CLINIC, UNIT 5,&6 COMOX CENTER MALL, 215 PORT AUGUSTA ST",COMOX,BC,V9M 3M9,CANADA,49.6737576,-124.9239317,4 VIHA,Vancouver Island,1
FAM_0028,,"PORT AUGSTUA FAMILY PRACTICE, UNITS 5&6, 215 PORT AUGUSTA ST",COMOX,BC,V9M 3M9,CANADA,49.6737576,-124.9239317,4 VIHA,Vancouver Island,3
FAM_0029,,"WILSON CENTRE FAMILY PRACTICE, 1, 2185 WILSON AVE",PORT COQUITLAM,BC,V3C 6C1,CANADA,49.2611675,-122.7770801,2 FHA,Fraser,13
FAM_0030,,"MURRAYVILLE FAMILY PRACTICE GROUP, 204, 22112 52 AVE",LANGLEY,BC,V2Y 2M6,CANADA,49.0963994,-122.6114208,2 FHA,Fraser,5
FAM_0031,PO BOX 2010,223 16 AVE N,CRESTON,BC,V0B 1G0,CANADA,49.0971564,-116.5071149,1 IHA,Interior,8
FAM_0032,,"UBC FACULTY OF MEDICINE, FAMILY PRACTICE RESIDENCY PROGRAM, CLINICAL ACADEMIC CAMPUS, 1 FLOOR, 2312 PANDOSY",KELOWNA,BC,V1Y 1T3,CANADA,49.8725291,-119.4919932,1 IHA,Interior,1
FAM_0033,PO BOX 99,"FORT FAMILY PRACTICE, 23148 96 AVE",LANGLEY,BC,V1M 2R4,CANADA,49.1687943,-122.5818142,2 FHA,Fraser,5
FAM_0034,,"GUISACHAN MEDICAL CLINIC, 105, 2395 GORDON DR",KELOWNA,BC,V1W 3X7,CANADA,49.8712313,-119.4746348,1 IHA,Interior,11
FAM_0035,,"BAYSWATER FAMILY PRACTICE, 200, 2475 BAYSWATER ST",VANCOUVER,BC,V6K 4N3,CANADA,49.2644023,-123.1716107,3 VCHA,Vancouver Coastal,7
FAM_0036,,2480 HEATHER ST,VANCOUVER,BC,V5Z 3H9,CANADA,49.2635856,-123.1196225,3 VCHA,Vancouver Coastal,12
FAM_0037,,"258 EAGLE RIDGE DR, EAGLE RIDGE FAMILY PRACTICE",SALT SPRING ISLAND,BC,V8K 2L1,CANADA,48.8644606,-123.4850647,4 VIHA,Vancouver Island,3
FAM_0038,PO BOX 240,"SHAWNIGAN VILLAGE FAMILY PRACTICE, 2749 DUNDAS RD",SHAWNIGAN LAKE,BC,V0R 2W0,CANADA,48.6533854,-123.6215257,4 VIHA,Vancouver Island,6
FAM_0039,,2778 104 ST,NANAIMO,BC,V9T 2E4,CANADA,49.2069135,-124.013865,4 VIHA,Vancouver Island,7
FAM_0040,,3029 CAMBIE ST,VANCOUVER,BC,V5Z 4N2,CANADA,49.2578453,-123.1158169,3 VCHA,Vancouver Coastal,5
FAM_0041,,"FAMILY PRACTICE, 403B, 3210 25 AVE",VERNON,BC,V1T 1P1,CANADA,50.2603819,-119.2749639,1 IHA,Interior,4
FAM_0042,,"VERNON FAMILY PRACTICE ASSOCIATES, 200 3310 32 AVE",VERNON,BC,V1T 2M6,CANADA,50.2652047,-119.2764732,1 IHA,Interior,5
FAM_0043,,350 FESTUBERT ST,DUNCAN,BC,V9L 3S9,CANADA,48.7779221,-123.7016569,4 VIHA,Vancouver Island,3
FAM_0044,PO BOX 102,3731 1 AVE,SMITHERS,BC,V0J 2N0,CANADA,54.7784887,-127.1709479,5 NHA,Northern,2
FAM_0045,,"SHAUGHNESSY FAMILY MEDICINE, 3770 OAK ST",VANCOUVER,BC,V6H 2M3,CANADA,49.2519744,-123.1270319,3 VCHA,Vancouver Coastal,4
FAM_0046,,"UNIVERSITY PLAZA FAMILY PRACTICE, 200, 3994 SHELBOURNE ST",VICTORIA,BC,V8N 3E2,CANADA,48.4719624,-123.3334163,4 VIHA,Vancouver Island,4
FAM_0047,,"UPSTREAM FAMILY MEDICINE, 108, 4330 HIGHWAY 101",SECHELT,BC,V0N 3A1,CANADA,49.4403593,-123.7090231,3 VCHA,Vancouver Coastal,5
FAM_0048,,"VIEWMONT FAMILY MEDICINE, 210, 4475 VIEWMONT AVE",VICTORIA,BC,V8Z 6L8,CANADA,48.4931896,-123.3892105,4 VIHA,Vancouver Island,3
FAM_0049,,"DEPT OF FAMILY PRACTICE, 4490 OAK ST",VANCOUVER,BC,V6H 3N1,CANADA,49.2447107,-123.1275681,3 VCHA,Vancouver Coastal,1
FAM_0050,,"LADNER FAMILY PRACTICE CLINIC, 204, 4515 HARVEST DR",LADNER,BC,V4K 4L1,CANADA,49.0850087,-123.0647032,2 FHA,Fraser,4
FAM_0051,,"SARDIS FAMILY PRACTICE, 202, 45425 LUCKAKUCK WAY",CHILLIWACK,BC,V2R 2T7,CANADA,49.1418723,-121.9672203,2 FHA,Fraser,3
FAM_0052,,"FAMILY CARE CENTRE, 45779 LUCKAKUCK WAY",CHILLIWACK,BC,V2R 4E8,CANADA,49.1425248,-121.9591416,2 FHA,Fraser,2
FAM_0053,,"CROSSROADS FAMILY PRACTICE, 201, 45800 PROMONTORY RD",CHILLIWACK,BC,V2R 5Z5,CANADA,49.110887,-121.9570107,2 FHA,Fraser,9
FAM_0054,,"FIFTH ST FAMILY PRACTICE, 519 5 ST",COURTENAY,BC,V9N 1K2,CANADA,49.6898847,-125.0022515,4 VIHA,Vancouver Island,1
FAM_0055,,"FIFTH ST FAMILY PRACTICE, 519G 5 ST",COURTENAY,BC,V9N 1K2,CANADA,49.6897758,-125.0021568,4 VIHA,Vancouver Island,3
FAM_0056,,"101, 5625 PROMONTORY RD, ZENITH FAMILY PRACTICE",CHILLIWACK,BC,V2R 4M5,CANADA,49.1044338,-121.9358127,2 FHA,Fraser,1
FAM_0057,,"SHUSWAP FAMILY PRACTICE, 102, 571 6 ST NE",SALMON ARM,BC,V1E 1R6,CANADA,50.7039752,-119.2792178,1 IHA,Interior,4
FAM_0058,,"ST LUKE FAMILY PRACTICE, 5761 GLOVER RD",LANGLEY,BC,V3A 8M8,CANADA,49.1087532,-122.6507475,2 FHA,Fraser,1
FAM_0059,,"ST LUKE FAMILY PRACTICE, 5, 5761 GLOVER RD",LANGLEY,BC,V3A 8M8,CANADA,49.1087532,-122.6507475,2 FHA,Fraser,3
FAM_0060,,"FAMILY PRACTICE, DAVID STRANGWAY BLDG, UNDERGRADUATE PROGRAMS DIRECTOR, 300, 5950 UNIVERSITY BLVD",VANCOUVER,BC,V6T 1Z3,CANADA,49.2658095,-123.2462171,3 VCHA,Vancouver Coastal,1
FAM_0061,,"UBC HEALTH CLINIC, 310, 5950 UNIVERSITY BLVD",VANCOUVER,BC,V6T 1Z3,CANADA,49.2658095,-123.2462171,3 VCHA,Vancouver Coastal,6
FAM_0062,,"U6, 601 W BROADWAY",VANCOUVER,BC,V5Z 4C2,CANADA,49.2632736,-123.1177186,3 VCHA,Vancouver Coastal,5
FAM_0063,,"242, 610 SIXTH ST",NEW WESTMINSTER,BC,V3L 3C2,CANADA,49.2134839,-122.9217729,2 FHA,Fraser,6
FAM_0064,,"SUITE 200, 6411 NELSON AVE",BURNABY,BC,V5H 4H3,CANADA,49.2255332,-122.99472,2 FHA,Fraser,4
FAM_0065,,6422 BAY ST,WEST VANCOUVER,BC,V7W 2H1,CANADA,49.3745863,-123.2751322,3 VCHA,Vancouver Coastal,7
FAM_0066,,"WEST COAST FAMILY MEDICAL CLINIC, 1300, 6660 SOOKE RD",SOOKE,BC,V9Z 0A5,CANADA,48.3797908,-123.721312,4 VIHA,Vancouver Island,10
FAM_0067,,"OAK TREE FAMILY MEDICINE, 6681 VICTORIA DR",VANCOUVER,BC,V5P 3Y2,CANADA,49.2236369,-123.0661803,3 VCHA,Vancouver Coastal,2
FAM_0068,,"102B, 6844 KING GEORGE BLVD",SURREY,BC,V3W 4Z9,CANADA,49.1270342,-122.8455285,2 FHA,Fraser,2
FAM_0069,,"SCOTT RD FAMILY CARE MEDICAL/REHAB CLINIC, 103, 7110 120 ST",SURREY,BC,V3W 3M8,CANADA,49.1322689,-122.8900721,2 FHA,Fraser,2
FAM_0070,,"MISSION MATERNITY CLINIC, DIVISION OF FAMILY PRACTICE, 7298 HURD ST",MISSION,BC,V2V 3H6,CANADA,49.1348623,-122.3319461,2 FHA,Fraser,8
FAM_0071,,"VANCOUVER FAMILY PRACTICE CENTRE, 402, 750 BROADWAY W",VANCOUVER,BC,V5Z 1H3,CANADA,49.2630118,-123.1210731,3 VCHA,Vancouver Coastal,5
FAM_0072,,"UBC FAMILY PRACTICE CENTRE, 400, 750 BROADWAY AVE W",VANCOUVER,BC,V5Z 1H3,CANADA,49.2630118,-123.1210731,3 VCHA,Vancouver Coastal,5
FAM_0073,,"8 AVE FAMILY AND MATERNITY CARE, 888 8 AVE W",VANCOUVER,BC,V5Z 3Y1,CANADA,49.2640136,-123.1235113,3 VCHA,Vancouver Coastal,1
FAM_0074,,"304, 888 8 AVE W",VANCOUVER,BC,V5Z 3Y1,CANADA,49.2640136,-123.1235113,3 VCHA,Vancouver Coastal,10
FAM_0075,,"FAMILY CARE MEDICAL CLINIC, 190, 9040 BLUNDELL RD",RICHMOND,BC,V6Y 1K3,CANADA,49.155408,-123.1235036,3 VCHA,Vancouver Coastal,3
FAM_0076,,"FAMILY PRACTICE/ EMERGENCY, 4, 910 COLUMBIA ST WEST",KAMLOOPS,BC,V2C 1L2,CANADA,50.6683894,-120.3551873,1 IHA,Interior,2
FAM_0077,BOX 868,ASHCROFT FAMILY MEDICAL PRACTICE,ASHCROFT,BC,V0K 1A0,CANADA,,,1 IHA,Interior,1
FN_0001,,"FIRST NATIONS HEALTH AUTHORITY, 501, 100 PARK ROYAL S",WEST VANCOUVER,BC,V7T 1A2,CANADA,49.3252402,-123.1347282,3 VCHA,Vancouver Coastal,1
FN_0002,,"URBAN ABORIGINAL HEALTH CENTRE, 119, 125 PALM ST",KAMLOOPS,BC,V2B 8J7,CANADA,50.6855733,-120.3564179,1 IHA,Interior,2
FN_0003,,"VANCOUVER NATIVE HEALTH, 449 HASTINGS ST E",VANCOUVER,BC,V6A 1P5,CANADA,49.2815413,-123.0942367,3 VCHA,Vancouver Coastal,4
FN_0004,,"KILALA LELUM HEALTH CENTRE, 626 POWELL ST",VANCOUVER,BC,V6A 1H4,CANADA,49.2829938,-123.0907991,3 VCHA,Vancouver Coastal,4
FN_0005,PO BOX 765,SEABIRD ISLAND FIRST NATION HEALTH,AGASSIZ,BC,V0M 1A0,CANADA,,,2 FHA,Fraser,1
PCC_0001,,"MCLEOD MEDICAL CLINIC, 229, 100 TABOR BLVD",PRINCE GEORGE,BC,V2M 5T4,CANADA,53.9265841,-122.8028377,5 NHA,Northern,1
PCC_0002,,100 WALLACE ST SUITE 1,NANAIMO,BC,V9R 5B1,CANADA,49.1683508,-123.9416342,4 VIHA,Vancouver Island,7
PCC_0003,,"THE WELL MEDICAL CLINIC, E, 1001 AUSTIN AV",COQUITLAM,BC,V3K 3N9,CANADA,49.2493565,-122.8676106,2 FHA,Fraser,2
PCC_0004,,"140, 1005 COLUMBIA ST",NEW WESTMINSTER,BC,V3M 6H5,CANADA,49.2004903,-122.9160205,2 FHA,Fraser,2
PCC_0005,,"CASTLEGAR MEDICAL ASSOCIATES, 1008 COLUMBIA AVE",CASTLEGAR,BC,V1N 1H2,CANADA,49.3140601,-117.6636088,1 IHA,Interior,7
PCC_0006,,"ALLIANCE CLINIC, 10085 WHALLEY BLVD",SURREY,BC,V3T 4G1,CANADA,49.185684,-122.8434265,2 FHA,Fraser,3
PCC_0007,,"LARGE CLINIC ATTN: DR CRAIG LYNCH, 1, 101 1 AVE E",PRINCE RUPERT,BC,V8J 3X4,CANADA,54.3166864,-130.3231555,5 NHA,Northern,1
PCC_0008,,"THE LARGE CLINIC, 100, 101 1 AVE E",PRINCE RUPERT,BC,V8J 3X4,CANADA,54.3166864,-130.3231555,5 NHA,Northern,5
PCC_0009,PO BOX 590,"SELKIRK MEDICAL CLINIC, 101 1 W ST",REVELSTOKE,BC,V0E 2S0,CANADA,50.9988813,-118.1957433,1 IHA,Interior,5
PCC_0010,PO BOX 3110,"3110 CENTRAL CITY, 10153 KING GEORGE HWY",SURREY,BC,V3T 2W1,CANADA,49.1855931,-122.8473969,2 FHA,Fraser,4
PCC_0011,,"VERALIFE HEALTH CENTRE, 103, 8386120 ST",SURREY,BC,V3W 3N4,CANADA,49.1898197,-122.8117594,2 FHA,Fraser,1
PCC_0012,,"MIND LONGEVITY CENTER, INC, 125A, 1030 DENMAN ST",VANCOUVER,BC,V6G 2M6,CANADA,49.2889238,-123.1392459,3 VCHA,Vancouver Coastal,1
PCC_0013,PO BOX 599,"HUDSON'S HOPE HEALTH CENTRE, 10309 KYLLO ST",HUDSON'S HOPE,BC,V0C 1V0,CANADA,56.0263657,-121.9157147,5 NHA,Northern,1
PCC_0014,,"LOYAL MEDICAL CLINIC, 112, 1055",VANCOUVER,BC,V6E 3P1,CANADA,49.1813757,-123.9471511,3 VCHA,Vancouver Coastal,1
PCC_0015,,1061 HAMILTON ST,VANCOUVER,BC,V6B 5T4,CANADA,49.2763482,-123.1204839,3 VCHA,Vancouver Coastal,3
PCC_0016,,"MARINE DR MEDICAL CLINIC, 102, 1061 MARINE DR",NORTH VANCOUVER,BC,V7P 1S6,CANADA,49.3235475,-123.1035419,3 VCHA,Vancouver Coastal,1
PCC_0017,,"102, 10663 KING GEORGE BLVD",SURREY,BC,V3T 2X6,CANADA,49.1965164,-122.8456678,2 FHA,Fraser,4
PCC_0018,,"KEYS CLINIC, ST HEALTH OUTREACH PROGRAM, 10667 135A ST",SURREY,BC,V3T 4E3,CANADA,49.1963771,-122.847063,2 FHA,Fraser,1
PCC_0019,,"107 8 AVE, LILLOOET MEDICAL CLINIC",LILLOOET,BC,V0K 1V0,CANADA,50.691343,-121.9385317,1 IHA,Interior,4
PCC_0020,,"GATEWAY MEDICAL CENTRE, 10751 KING GEORGE BOUL",SURREY,BC,V3T 2X6,CANADA,49.1978627,-122.8457959,2 FHA,Fraser,1
PCC_0021,,"TSAWWASSEN MEDICAL CLINIC, 1077 56 ST",DELTA,BC,V4L 2A2,CANADA,49.0228099,-123.0686993,2 FHA,Fraser,1
PCC_0022,,"PORT ALICE HEALTH CENTRE, 1090 MARINE DR",PORT ALICE,BC,V0N 2N0,CANADA,50.4256586,-127.4883092,4 VIHA,Vancouver Island,1
PCC_0023,,"DOCTOR, SCOTTSDALE MEDICAL CENTER, 110, 7928, 128ST, YORK BUSINESS CENTER",SURREY,BC,V3W 4E8,CANADA,49.2024433,-122.8221601,2 FHA,Fraser,1
PCC_0024,,"102, 1100 ALASKA AVE",DAWSON CREEK,BC,V1G 4V8,CANADA,55.7604489,-120.2310667,5 NHA,Northern,2
PCC_0025,,"101, 1100 ALASKA AVE",DAWSON CREEK,BC,V1G 4V8,CANADA,55.7604181,-120.2305905,5 NHA,Northern,4
PCC_0026,,1101 3 ST,CASTLEGAR,BC,V1N 2A1,CANADA,49.3265946,-117.6645688,1 IHA,Interior,6
PCC_0027,,"111, MOUNTAIN VIEW MEDICAL CLINIC, DOGWOOD ST",CAMPBELL RIVER,BC,V9H 6B9,CANADA,50.0095206,-125.2470366,,,3
PCC_0028,,BASTION MEDICAL CENTRE,SALMON ARM,BC,V1E 2G1,CANADA,50.707812,-119.2555288,1 IHA,Interior,1
PCC_0029,,"HARBOUR CITY HEALTH CENTRE, 204, 1125 DUFFERIN CRES",NANAIMO,BC,V9S 2B5,CANADA,49.1840471,-123.9672873,4 VIHA,Vancouver Island,1
PCC_0030,,"1128 HORNBY ST, 4 FLOOR",VANCOUVER,BC,V6Z 2L4,CANADA,49.278937,-123.126832,3 VCHA,Vancouver Coastal,2
PCC_0031,,"THREE BRIDGES COMMUNITY HEALTH CENTER, 1128 HORNBY ST",VANCOUVER,BC,V6Z 2L4,CANADA,49.278937,-123.126832,3 VCHA,Vancouver Coastal,6
PCC_0032,,"FW GREEN CLINIC, 262, 1131, 2 ST N",CRANBROOK,BC,V1C 3L1,CANADA,49.508454,-115.7657633,1 IHA,Interior,1
PCC_0033,,"WESTSIDE MEDICAL, 103, 1135 STEVENS RD",WEST KELOWNA,BC,V1Z 2S8,CANADA,49.8660094,-119.5634336,1 IHA,Interior,5
PCC_0034,,"ESQUIMALT MEDICAL CLINIC, 1153 ESQUIMALT RD 3",VICTORIA,BC,V9A 3N7,CANADA,48.4294672,-123.4107153,4 VIHA,Vancouver Island,2
PCC_0035,,"RODRIGUEZ MEDICAL CLINIC, 104, 1168 THE HIGH ST",COQUITLAM,BC,V3B 0C6,CANADA,49.2821917,-122.7969526,2 FHA,Fraser,3
PCC_0036,,"MAPLE TREE MEDICAL CLINIC, 1181 6 AVE NE",SALMON ARM,BC,V1E 2S5,CANADA,50.7044737,-119.2714868,1 IHA,Interior,7
PCC_0037,,"FRASER MEDICAL CLINIC, UNIT 100, 11915 224 ST",MAPLE RIDGE,BC,V2X 6B2,CANADA,49.2189274,-122.6021356,2 FHA,Fraser,1
PCC_0038,,"FRASER MEDICAL CLINIC, 101, 11915 224 ST",MAPLE RIDGE,BC,V2X 6B2,CANADA,49.2189274,-122.6021356,2 FHA,Fraser,1
PCC_0039,,"FRASER MEDICAL CLINIC, 11915 224 ST",MAPLE RIDGE,BC,V2X 6B2,CANADA,49.2189274,-122.6021356,2 FHA,Fraser,2
PCC_0040,,1199 AUSTIN AVE,COQUITLAM,BC,V3K 3P4,CANADA,49.2492922,-122.8582747,2 FHA,Fraser,5
PCC_0041,PO BOX 3760,1209 MAIN ST,SMITHERS,BC,V0J 2N0,CANADA,54.7803513,-127.170402,5 NHA,Northern,4
PCC_0042,,"MILE 0 WALK IN CLINIC, 121, 10200, 8ST",DAWSON CREEK,BC,V1G 3P8,CANADA,55.7401395,-120.2288883,5 NHA,Northern,1
PCC_0043,,"PITT MEADOWS PROFESSIONAL CENTRE, 101, 12195 HARRIS RD",PITT MEADOWS,BC,V3Y 2E9,CANADA,49.2243315,-122.6900941,2 FHA,Fraser,2
PCC_0044,,123 10 AVE S,CRANBROOK,BC,V1C 2N1,CANADA,49.5092582,-115.767983,1 IHA,Interior,9
PCC_0045,BOX 1700,"BLUE HERON MEDICAL CLINIC, 203, 1230 CANYON ST",CRESTON,BC,V0B 1G0,CANADA,49.0956112,-116.509764,1 IHA,Interior,3
PCC_0046,,"HEALTHVUE MEDICAL CLINIC, 100, 12420 NO1 RD",RICHMOND,BC,V7E 6N2,CANADA,49.124758,-123.1808242,3 VCHA,Vancouver Coastal,5
PCC_0047,,"105, 1250 DOMINION AVE",PORT COQUITLAM,BC,V3B 8G7,CANADA,49.2580714,-122.7486628,2 FHA,Fraser,2
PCC_0048,,1256 MARINE DR,NORTH VANCOUVER,BC,V7P 1T2,CANADA,49.3247652,-123.1093259,3 VCHA,Vancouver Coastal,6
PCC_0049,,"GRANVILLE YOUTH HEALTH CLINIC, 1260 GRANVILLE ST",VANCOUVER,BC,V6Z 1M4,CANADA,49.2763342,-123.1268421,3 VCHA,Vancouver Coastal,1
PCC_0050,,"ALL CARE MEDICAL CENTRE, 12827 76 AVE 101",SURREY,BC,V3W 2V3,CANADA,49.141173,-122.8671536,2 FHA,Fraser,1
PCC_0051,,"SITKA HEALTH CENTRE, 1284 FAIRFIELD RD",VICTORIA,BC,V8V 4W3,CANADA,48.4157697,-123.3491836,4 VIHA,Vancouver Island,4
PCC_0052,,"CEDAR HILLS MEDICAL CLINIC, 12852 96 AVE, UNIT 120",SURREY,BC,V3V 6A8,CANADA,49.1769549,-122.8656881,2 FHA,Fraser,2
PCC_0053,,"SUKHMAN MEDICAL CLINIC, 109, 12885 80TH AVE",SURREY,BC,V3W 0E6,CANADA,49.1502749,-122.8659648,2 FHA,Fraser,1
PCC_0054,,"SEYMOUR HEALTH CENTRE, 1290 HORNBY ST FLOOR 2",VANCOUVER,BC,V6Z 1W2,CANADA,49.2772743,-123.1293398,3 VCHA,Vancouver Coastal,1
PCC_0055,,"3 BRIDGES COMMUNITY HEALTH CENTRE, 1292 HORNBY ST",VANCOUVER,BC,V6Z 1W2,CANADA,49.2774005,-123.1295869,3 VCHA,Vancouver Coastal,2
PCC_0056,BOX 98,"FRASER LAKE MEDICAL CLINIC, 130 CHOWSUNKET ST",FRASER LAKE,BC,V0J 1S0,CANADA,54.0591174,-124.8494433,5 NHA,Northern,6
PCC_0057,PO BOX 460,13009 ROSEDALE AVE,SUMMERLAND,BC,V0H 1Z0,CANADA,49.6012398,-119.6773328,1 IHA,Interior,6
PCC_0058,,1302 7 AVE SUITE 102,PRINCE GEORGE,BC,V2L 3P1,CANADA,53.9144924,-122.7488382,5 NHA,Northern,3
PCC_0059,,"202, 1302 7 AVE",PRINCE GEORGE,BC,V2L 3P1,CANADA,53.9141274,-122.7486071,5 NHA,Northern,5
PCC_0060,,1306 CENTRAL ST E,PRINCE GEORGE,BC,V2M 3C1,CANADA,53.9122586,-122.7808912,5 NHA,Northern,5
PCC_0061,,"FW GREEN CLINIC, 262, 1311 SECOND ST N",CRANBROOK,BC,V1C 3L1,CANADA,49.5128884,-115.7637975,1 IHA,Interior,10
PCC_0062,,1315 ST GEORGES AVE,NORTH VANCOUVER,BC,V7L 3J2,CANADA,49.3202668,-123.0697176,3 VCHA,Vancouver Coastal,4
PCC_0063,PO BOX 10003,"ELAHO MEDICAL CLINIC, 1337 PEMBERTON AVE",SQUAMISH,BC,V8B 0R1,CANADA,49.7016265,-123.1523587,3 VCHA,Vancouver Coastal,5
PCC_0064,,"1300, 13401, 108 AVE",SURREY,BC,V3T 5T3,CANADA,49.1990923,-122.8502541,2 FHA,Fraser,2
PCC_0065,,"13444 108 AVE, LIFE GATEWAY MEDICAL CLINIC",SURREY,BC,V3T 2K1,CANADA,49.1987563,-122.8495496,2 FHA,Fraser,1
PCC_0066,,"LIONS GATE MEDICAL CLINIC, 201, 135 15 ST E",NORTH VANCOUVER,BC,V7L 2P7,CANADA,49.3217471,-123.0708344,3 VCHA,Vancouver Coastal,2
PCC_0067,,"COURTENAY MEDICAL ASSOCIATES, 201, 1350 ENGLAND AVE",COURTENAY,BC,V9N 8X6,CANADA,49.6860441,-124.9944659,4 VIHA,Vancouver Island,6
PCC_0068,,"THE DE PIERI CLINIC, 106, 1353 ELLIS ST",KELOWNA,BC,V1Y 1Z9,CANADA,49.890011,-119.4930484,1 IHA,Interior,2
PCC_0069,,"THE PHOENIX CENTRE, 13686 94A AVE",SURREY,BC,V3V 1N1,CANADA,49.1745351,-122.843306,2 FHA,Fraser,1
PCC_0070,,"GATEWAY MEDICAL CENTER, 13719 72 AVE",SURREY,BC,V3W 2P2,CANADA,49.1337485,-122.8421959,2 FHA,Fraser,7
